Customer ID,Customer Name,Segment
SC-2057582,Sonia Cooley,Consumer
KW-1657028,Kelly Williams,Consumer
DP-1300018,Darren Powers,Consumer
TB-2125093,Tim Brockman,Consumer
PK-1891093,Paul Knutson,Home Office
JK-1562518,Jim Karlsson,Consumer
HE-1480098,Harold Engle,Corporate
JE-1561082,Jim Epp,Corporate
TB-2105526,Ted Butterfield,Consumer
DW-1319598,David Wiener,Corporate
SJ-2021582,Sarah Jordon,Consumer
SP-2065082,Stephanie Phelps,Corporate
SC-2005055,Kai Rey,Home Office
DM-1352582,Don Miller,Corporate
SC-2044031,Shaun Chance,Corporate
AR-1082536,Anthony Rawles,Corporate
RW-1969082,Robert Waldorf,Consumer
MT-1781582,Meg Tillman,Consumer
LC-1696018,Lindsay Castell,Home Office
AS-1024036,Alan Shonely,Consumer
SF-2020018,Sarah Foster,Consumer
MG-1820528,Mitch Gastineau,Corporate
KC-1625582,Karen Carlisle,Corporate
DW-1348055,Dianna Wilson,Home Office
DS-1303036,Darrin Sayre,Home Office
JM-1558082,Jill Matthias,Consumer
PW-1924098,Pierre Wener,Consumer
DS-1303018,Darrin Sayre,Home Office
CC-1222082,Chris Cortes,Consumer
MG-1820518,Mitch Gastineau,Corporate
LC-1688555,Lena Creighton,Consumer
BT-1153082,Bradley Talbott,Home Office
RK-1930055,Ralph Kennedy,Consumer
PB-1921031,Phillip Breyer,Corporate
BM-1114028,Becky Martin,Consumer
TZ-2144518,Tom Zandusky,Corporate
GZ-1447036,Gary Zandusky,Consumer
FM-1421582,Filia McAdams,Corporate
LR-16915101,Lena Radford,Consumer
KT-1646598,Kean Takahito,Consumer
MW-1822082,Mitch Webber,Consumer
CS-1235582,Christine Sundaresam,Consumer
PS-1876082,Pamela Stobb,Consumer
SC-2084582,Sung Chung,Consumer
AJ-1078082,Anthony Jacobs,Corporate
KT-1646518,Kean Takahito,Consumer
AH-1007593,Adam Hart,Corporate
NW-1840036,Natalie Webber,Consumer
JL-1585051,John Lucas,Consumer
CG-1204031,Catherine Glotzbach,Home Office
TB-2140082,Tom Boeckenhauer,Consumer
PB-1915082,Philip Brown,Consumer
MD-1735082,Maribeth Dona,Consumer
HD-1478536,Harold Dahlen,Home Office
TT-212655,Tim Taslimi,Corporate
RS-1942082,Ricardo Sperren,Corporate
SC-2068082,Steve Carroll,Home Office
EM-1420051,Evan Minnotte,Home Office
SW-202755,Scott Williamson,Consumer
TS-2108536,Thais Sissman,Consumer
SS-2041018,Shahid Shariari,Consumer
AG-1033028,Alex Grayson,Consumer
NP-1868555,Nora Pelletier,Home Office
PO-19195143,Phillina Ober,Home Office
PB-1915054,Philip Brown,Consumer
JL-1513018,Jack Lebron,Consumer
BT-1130531,Beth Thompson,Home Office
DR-1288082,Dan Reichenbach,Corporate
LP-1708082,Liz Pelletier,Consumer
TT-2146036,Tonja Turnell,Home Office
FW-143955,Fred Wasserman,Corporate
BM-1114098,Becky Martin,Consumer
SC-2002082,Sam Craven,Consumer
MO-1750018,Mary O'Rourke,Consumer
KD-1661582,Ken Dana,Corporate
EM-1381036,Eleni McCrary,Corporate
BH-1171055,Brosina Hoffman,Consumer
BE-1133531,Bill Eplett,Home Office
LW-1699036,Lindsay Williams,Corporate
HE-1480018,Harold Engle,Corporate
LS-1723093,Lycoris Saunders,Consumer
ST-2053082,Shui Tom,Consumer
GP-1474031,Guy Phonely,Corporate
TC-2153531,Tracy Collins,Home Office
TZ-21580143,Tracy Zic,Consumer
AR-1034582,Alex Russell,Corporate
SL-2015539,Sara Luxemburg,Home Office
DJ-1363036,Doug Jacobs,Consumer
YS-218805,Yana Sorensen,Corporate
BW-1120082,Ben Wallace,Consumer
EB-1417093,Evan Bailliet,Consumer
MO-1750082,Mary O'Rourke,Consumer
JS-1568539,Jim Sink,Corporate
TB-2117531,Thomas Boland,Corporate
VW-2177554,Victoria Wilson,Corporate
HF-1499536,Herbert Flentye,Consumer
CR-1273028,Craig Reiter,Consumer
CM-1244582,Chuck Magee,Consumer
BT-1148528,Brad Thomas,Home Office
ML-1804098,Michelle Lonsdale,Corporate
RW-1963082,Rob Williams,Corporate
TB-2135598,Todd Boyes,Corporate
RS-1987036,Roy Skaria,Home Office
CS-1249082,Cindy Schnelling,Corporate
FP-1432082,Frank Preis,Consumer
EB-14170143,Evan Bailliet,Consumer
MW-182205,Mitch Webber,Consumer
CS-1195036,Carlos Soltero,Consumer
DO-1343518,Denny Ordway,Consumer
RR-1952536,Rick Reed,Corporate
MH-1762082,Matt Hagelstein,Corporate
AG-1030082,Aleksandra Gannaway,Corporate
BM-1114039,Becky Martin,Consumer
CL-1270093,Craig Leslie,Home Office
RK-1930082,Ralph Kennedy,Consumer
MG-1814539,Mike Gockenbach,Consumer
KD-1649593,Keith Dawkins,Corporate
LS-1724582,Lynn Smith,Consumer
AS-1009082,Adam Shillingsburg,Consumer
AH-1019531,Alan Haines,Corporate
GB-1453039,George Bell,Corporate
AC-1042031,Alyssa Crouse,Corporate
TT-2126539,Tim Taslimi,Corporate
PT-1909082,Pete Takahito,Consumer
SC-208455,Sung Chung,Consumer
LW-1699031,Lindsay Williams,Corporate
LB-1673582,Larry Blacks,Consumer
RK-1930018,Ralph Kennedy,Consumer
SZ-2003582,Sam Zeldin,Home Office
AB-1010582,Adrian Barton,Consumer
KF-1628526,Karen Ferguson,Home Office
AH-10585143,Angele Hood,Consumer
PO-1885082,Patrick O'Brill,Consumer
EH-1399051,Erica Hackney,Consumer
EJ-1372082,Ed Jacobs,Consumer
DJ-1351018,Don Jones,Corporate
KM-167205,Kunst Miller,Consumer
BB-1154582,Brenda Bowman,Corporate
MN-1793555,Michael Nguyen,Consumer
VG-2179054,Vivek Gonzalez,Consumer
AG-1076539,Anthony Garverick,Home Office
LS-1697518,Lindsay Shagiari,Home Office
CL-1189018,Carl Ludwig,Consumer
KB-1640518,Katrina Bavinger,Home Office
DH-1367539,Duane Huffman,Home Office
AP-1091531,Arthur Prichep,Consumer
SB-2029018,Sean Braxton,Corporate
DW-1354082,Don Weiss,Consumer
RP-19390143,Resi Pölking,Consumer
PK-1907539,Pete Kriz,Consumer
MP-179655,Michael Paige,Corporate
DN-1369018,Duane Noonan,Consumer
DL-1333026,Denise Leinenbach,Consumer
LS-1723082,Lycoris Saunders,Consumer
RB-1979531,Ross Baird,Home Office
BS-113805,Bill Stewart,Corporate
JR-1570055,Jocasta Rupert,Consumer
DR-1288018,Dan Reichenbach,Corporate
TB-2128082,Toby Braunhardt,Consumer
PB-1915028,Philip Brown,Consumer
JG-1531039,Jason Gross,Corporate
CA-1231082,Christine Abelman,Corporate
PJ-1901598,Pauline Johnson,Consumer
CR-1282093,Cyra Reiten,Home Office
Dp-13240143,Dean percer,Home Office
SV-2093555,Susan Vittorini,Consumer
LW-1699093,Lindsay Williams,Corporate
NF-1859539,Nicole Fjeld,Home Office
MC-1813082,Mike Caudle,Corporate
SG-2008054,Sandra Glassco,Consumer
PG-1889551,Paul Gonzalez,Consumer
NK-1849098,Neil Knudson,Home Office
FA-1423018,Frank Atkinson,Corporate
SA-2083082,Sue Ann Reed,Consumer
CS-1246051,Chuck Sachs,Consumer
SH-2063555,Stefanie Holloman,Corporate
MC-175905,Matt Collister,Corporate
MF-1825018,Monica Federle,Corporate
DE-1325582,Deanra Eno,Home Office
TC-2098018,Tamara Chand,Corporate
DV-1304555,Darrin Van Huff,Corporate
RA-1928518,Ralph Arnett,Consumer
AG-10330143,Alex Grayson,Consumer
AA-10375101,Allen Armold,Consumer
SC-2030593,Sean Christensen,Consumer
TG-2164018,Trudy Glocke,Consumer
ND-18460143,Neil Ducich,Corporate
IM-1507055,Irene Maddox,Consumer
TP-2156582,Tracy Poddar,Corporate
HK-1489036,Heather Kirkland,Corporate
CK-1259582,Clytie Kelty,Consumer
PH-1879018,Patricia Hirasaki,Home Office
JH-1598582,Joseph Holt,Consumer
AB-10105101,Adrian Barton,Consumer
CR-1262598,Corey Roper,Home Office
SC-2084528,Sung Chung,Consumer
HJ-1487582,Heather Jas,Home Office
YS-2188082,Yana Sorensen,Corporate
KH-1669051,Kristen Hastings,Corporate
CV-1229536,Christina VanderZanden,Consumer
JC-1610528,Julie Creighton,Corporate
JD-1601582,Joy Daniels,Consumer
RS-1976536,Roland Schwarz,Corporate
MZ-1733582,Maria Zettner,Home Office
DK-1289526,Dana Kaydos,Consumer
NR-1855036,Nick Radford,Consumer
NF-1859582,Nicole Fjeld,Home Office
HA-1492016,Helen Andreada,Consumer
RC-1996039,Ryan Crowe,Consumer
DB-129105,Daniel Byrd,Home Office
SW-20275141,Scott Williamson,Consumer
TP-2113039,Theone Pippenger,Consumer
DL-129255,Daniel Lacy,Consumer
FP-143205,Frank Preis,Consumer
KN-1639051,Katherine Nockton,Corporate
LS-1720080,Luke Schmidt,Corporate
